#Insert size (bp)	insert size
361.0	223426.0
362.0	223062.0
363.0	221587.0
364.0	219748.0
365.0	218434.0
366.0	217976.0
367.0	218429.0
368.0	217693.0
369.0	215672.0
370.0	216580.0
371.0	219274.0
372.0	214491.0
373.0	214689.0
374.0	214095.0
375.0	212532.0
376.0	210136.0
377.0	209149.0
378.0	211225.0
379.0	209522.0
380.0	209718.0
381.0	208445.0
382.0	208346.0
383.0	203356.0
384.0	203721.0
385.0	200847.0
386.0	201212.0
387.0	199878.0
388.0	199543.0
389.0	199551.0
390.0	200141.0
391.0	198784.0
392.0	196973.0
393.0	196065.0
394.0	194908.0
395.0	193465.0
396.0	189839.0
397.0	191524.0
398.0	189071.0
399.0	187950.0
400.0	188140.0
401.0	189013.0
402.0	187165.0
403.0	184588.0
404.0	185541.0
405.0	183144.0
406.0	180581.0
407.0	179213.0
408.0	181816.0
409.0	176827.0
410.0	176222.0
411.0	177059.0
412.0	175982.0
413.0	175448.0
414.0	172581.0
415.0	171777.0
416.0	170641.0
417.0	168876.0
418.0	167916.0
419.0	165663.0
420.0	166233.0
421.0	163399.0
422.0	163928.0
423.0	162985.0
424.0	161382.0
425.0	161574.0
426.0	159501.0
427.0	157827.0
428.0	156389.0
429.0	155230.0
430.0	153560.0
431.0	152085.0
432.0	152591.0
433.0	152613.0
434.0	150834.0
435.0	150889.0
436.0	148465.0
437.0	147664.0
438.0	145875.0
439.0	144425.0
440.0	143897.0
441.0	143411.0
442.0	142486.0
443.0	141402.0
444.0	140908.0
445.0	138416.0
446.0	140783.0
447.0	136648.0
448.0	135997.0
449.0	134368.0
450.0	134145.0
451.0	132566.0
452.0	132210.0
453.0	130665.0
454.0	130506.0
455.0	129394.0
456.0	127900.0
457.0	127526.0
458.0	125879.0
459.0	125185.0
460.0	123007.0
461.0	123264.0
462.0	121341.0
463.0	120257.0
464.0	120077.0
465.0	118848.0
466.0	117520.0
467.0	117060.0
468.0	116553.0
469.0	114807.0
470.0	112848.0
471.0	112894.0
472.0	112218.0
473.0	110995.0
474.0	109519.0
475.0	108610.0
476.0	107181.0
477.0	105822.0
478.0	105313.0
479.0	104700.0
480.0	103668.0
481.0	102418.0
482.0	101136.0
483.0	100917.0
484.0	99919.0
485.0	97683.0
486.0	97690.0
487.0	95951.0
488.0	96672.0
489.0	93998.0
490.0	92927.0
491.0	92346.0
492.0	91901.0
493.0	90750.0
494.0	90552.0
495.0	88731.0
496.0	90242.0
497.0	87734.0
498.0	86074.0
499.0	86679.0
500.0	84822.0
501.0	83287.0
502.0	82995.0
503.0	81782.0
504.0	81080.0
505.0	80246.0
506.0	78666.0
507.0	77925.0
508.0	77054.0
509.0	77223.0
510.0	75693.0
511.0	74574.0
512.0	73849.0
513.0	73288.0
514.0	72363.0
515.0	71879.0
516.0	70672.0
517.0	70740.0
518.0	68808.0
519.0	68114.0
520.0	67598.0
521.0	66906.0
522.0	65727.0
523.0	65478.0
524.0	64367.0
525.0	63588.0
526.0	63864.0
527.0	62219.0
528.0	61606.0
529.0	61768.0
530.0	60225.0
531.0	59906.0
532.0	58795.0
533.0	58419.0
534.0	57074.0
535.0	57169.0
536.0	55980.0
537.0	55375.0
538.0	55058.0
539.0	54583.0
540.0	53820.0
541.0	52987.0
542.0	52182.0
