#Position (bp)	Coverage
3030263.0	5.7542318528510314
9090788.0	5.602713296290338
1.5151313E7	5.874074440745645
2.1211838E7	6.044703717912227
2.7272363E7	5.652803346244756
3.3332888E7	5.427654534879404
3.9393413E7	5.874207267522203
4.5453938E7	5.670760041415554
5.1514463E7	5.991808795442639
5.7574988E7	5.65928116788562
6.3635513E7	5.547148803115242
6.9696038E7	5.619980942245102
7.5756563E7	5.144792736602852
8.1817088E7	5.611340436678341
8.7877613E7	5.403007825229662
9.3938138E7	5.468152676542049
9.9998663E7	5.591805660400708
1.058157535E8	5.534807314983199
1.08846016E8	4.92454438462913
1.12119713E8	5.857185969862347
1.18180238E8	5.733890380783843
1.24240763E8	6.274250498100412
1.30301288E8	5.712059598797134
1.36361813E8	5.958915440494017
1.42422338E8	5.380072023463314
1.48482863E8	5.6047281382388485
1.54543388E8	6.083661068966798
1.60603913E8	5.2465208872168665
1.66664438E8	5.478074094241011
1.72724963E8	5.9764449449511385
1.78785488E8	6.021849592238296
1.84846013E8	6.018466551990133
1.90906538E8	5.926319089517822
1.96967063E8	5.859628827535568
2.03027588E8	6.022737304111443
2.08354926E8	5.0158714852864
2.113851885E8	43.41534424369227
2.15148638E8	6.332804996266825
2.21209163E8	6.281110629854674
2.27269688E8	6.38623898094637
2.33330213E8	5.562500113439017
2.39390738E8	5.495850607001868
2.45451263E8	5.772331604935216
2.51511788E8	5.724319922778967
2.57572313E8	6.215302304668325
2.63632838E8	5.936886490856815
2.69693363E8	6.3377606725489954
2.75753888E8	6.075640146686962
2.81814413E8	5.454541974498909
2.87874938E8	5.557761085054513
2.93935463E8	5.417665301273405
2.99995988E8	5.45589532259994
3.06056513E8	9.943423548289958
3.100092195E8	5.315035384261809
3.13039482E8	5.64837081560865
3.18177563E8	5.561109969845846
3.24238088E8	6.217633785851886
3.30298613E8	5.805653305612963
3.36359138E8	5.781338415401306
3.42419663E8	5.492016780724442
3.48480188E8	5.634213042599445
3.54540713E8	5.124000148501986
3.60601238E8	5.677585027699745
3.66661763E8	5.563851481513566
3.72722288E8	5.334506664026631
3.78782813E8	5.848208694791293
3.84843338E8	5.797556482317951
