#Coverage (X)	Coverage
1.0	96.03541019469225
2.0	90.93865469991513
3.0	82.68408871148714
4.0	71.67276706243005
5.0	59.07113700680127
6.0	46.311969710702314
7.0	34.62055251220332
8.0	24.778477297536412
9.0	17.062309254663347
10.0	11.361248148545542
11.0	7.359926578033637
12.0	4.673925358697687
13.0	2.9366550345883127
14.0	1.8467633289798613
15.0	1.1792261405225162
16.0	0.7780507321210877
17.0	0.5389819709483987
18.0	0.3971072371673756
19.0	0.3116703611813989
20.0	0.2586612909786936
21.0	0.22434284839221164
22.0	0.20072009786508715
23.0	0.18326880199926165
24.0	0.16963842152563302
25.0	0.15866296818511216
26.0	0.14936847506388062
27.0	0.14122660502111728
28.0	0.13399690855698054
29.0	0.12739871687804794
30.0	0.12138434433981615
31.0	0.1158409294168905
32.0	0.11080122505194367
33.0	0.10623652085693891
34.0	0.10203989538676694
35.0	0.09818173074111769
36.0	0.09465781936312112
37.0	0.09141119423283328
38.0	0.08842931518076114
39.0	0.08561697592013218
40.0	0.0829632450532074
41.0	0.08050768186464552
42.0	0.07821839967347444
43.0	0.07605307540768536
44.0	0.0740294468070033
45.0	0.07213736623428701
46.0	0.07038937385901534
47.0	0.06872689388949027
48.0	0.06717013909891989
49.0	0.0656634624851904
50.0	0.06423879197981819
51.0	0.06293119055672491
