#Position (bp)	insert size
3030263.0	367.4699938396249
9090788.0	370.24449066289054
1.5151313E7	370.6122854865103
2.1211838E7	371.4480698155294
2.7272363E7	370.2074672118972
3.3332888E7	372.112394757636
3.9393413E7	370.647100882395
4.5453938E7	372.31021041708453
5.1514463E7	370.75703763578326
5.7574988E7	372.44769081653146
6.3635513E7	372.5884065973212
6.9696038E7	371.625968703754
7.5756563E7	373.36272362175976
8.1817088E7	372.508611358016
8.7877613E7	372.77916483757684
9.3938138E7	373.6732020826554
9.9998663E7	371.74779934245413
1.058157535E8	370.03993639651344
1.08846016E8	369.42508667657256
1.12119713E8	368.6726018851063
1.18180238E8	369.65832961143366
1.24240763E8	370.52493231487045
1.30301288E8	371.15727100507775
1.36361813E8	370.3925286355304
1.42422338E8	372.938123624358
1.48482863E8	371.3385711900305
1.54543388E8	369.6633852042264
1.60603913E8	373.05232760485745
1.66664438E8	371.5096296964503
1.72724963E8	370.82882070790606
1.78785488E8	369.82130643234666
1.84846013E8	370.7811306811184
1.90906538E8	369.34207857416
1.96967063E8	369.34262975078406
2.03027588E8	365.93284242980843
2.08354926E8	360.97542216803714
2.113851885E8	348.1771442963777
2.15148638E8	365.4584998261004
2.21209163E8	364.93668628916714
2.27269688E8	364.29447725385256
2.33330213E8	371.1697519371598
2.39390738E8	372.28931756076514
2.45451263E8	369.0278473439036
2.51511788E8	366.42297641122946
2.57572313E8	369.3963317638076
2.63632838E8	371.3084281131525
2.69693363E8	369.3214188118271
2.75753888E8	371.28903924662103
2.81814413E8	370.7623795460908
2.87874938E8	372.00704244161716
2.93935463E8	372.48294614668686
2.99995988E8	372.21318307001013
3.06056513E8	372.6572564555663
3.100092195E8	370.6087407046203
3.13039482E8	372.515061150536
3.18177563E8	371.3974246259047
3.24238088E8	370.2191050882938
3.30298613E8	372.27591392185684
3.36359138E8	370.50624157983594
3.42419663E8	372.4759243452087
3.48480188E8	372.5048726953468
3.54540713E8	373.36199614271936
3.60601238E8	371.3136481911774
3.66661763E8	369.7695619502276
3.72722288E8	372.4907314003313
3.78782813E8	370.82639605065174
3.84843338E8	370.49085423023814
3.90903863E8	346.34758300914
3.96964388E8	366.2455007555983
4.02444307E8	370.0518651724818
4.054745695E8	366.16622638577485
4.09085438E8	370.4483202555265
4.15145963E8	368.0708219654957
4.21206488E8	369.69152308752587
4.27267013E8	370.9471463639153
4.33327538E8	373.06947855114726
4.39388063E8	372.2824071583553
4.45448588E8	372.15650935433956
4.51509113E8	373.1953441773863
