#Position (bp)	mapping quality
3030263.0	59.10059342978234
9090788.0	59.03011592186002
1.5151313E7	59.07001677531943
2.1211838E7	59.144495989919854
2.7272363E7	59.2023817603212
3.3332888E7	59.173561553644916
3.9393413E7	59.17265844615345
4.5453938E7	59.19809350611213
5.1514463E7	59.271919211591175
5.7574988E7	59.03753001703063
6.3635513E7	59.29518012098146
6.9696038E7	59.079071515022115
7.5756563E7	59.11812317574817
8.1817088E7	58.985649666294734
8.7877613E7	59.1592464532355
9.3938138E7	57.949852891293155
9.9998663E7	59.167129204905486
1.058157535E8	59.04356434481708
1.08846016E8	58.07132847592077
1.12119713E8	59.04333953974655
1.18180238E8	59.01347435766093
1.24240763E8	55.6524020182527
1.30301288E8	59.23210134787104
1.36361813E8	58.83132799053379
1.42422338E8	59.11836223596803
1.48482863E8	59.065683481820386
1.54543388E8	58.93599846832133
1.60603913E8	59.16411194661308
1.66664438E8	59.08781599463996
1.72724963E8	59.18544070459217
1.78785488E8	59.38896072404356
1.84846013E8	59.223614696387784
1.90906538E8	59.21516619139419
1.96967063E8	59.1357076070068
2.03027588E8	59.459946005030936
2.08354926E8	59.16755609745555
2.113851885E8	37.14331874253005
2.15148638E8	57.22125252683586
2.21209163E8	56.35169970586725
2.27269688E8	57.01641440856854
2.33330213E8	58.47730760348654
2.39390738E8	59.116521429961324
2.45451263E8	59.1664542494109
2.51511788E8	58.563433092235805
2.57572313E8	59.39234838548708
2.63632838E8	59.155486812783046
2.69693363E8	59.281654666481714
2.75753888E8	59.33442442582802
2.81814413E8	58.69318147751922
2.87874938E8	59.359028946643306
2.93935463E8	59.24832017795705
2.99995988E8	59.246629663126
3.06056513E8	45.710294294964854
3.100092195E8	59.07741294303557
3.13039482E8	58.824260150853014
3.18177563E8	58.97227598792142
3.24238088E8	59.15686449872453
3.30298613E8	59.005475579619755
3.36359138E8	59.233431967118975
3.42419663E8	58.9858632085983
3.48480188E8	59.28995854117827
3.54540713E8	59.0820116982868
3.60601238E8	59.05631799060549
3.66661763E8	58.42037243901026
3.72722288E8	58.810180038365715
3.78782813E8	59.00746898398151
3.84843338E8	59.02569646535564
3.90903863E8	49.230796098899496
3.96964388E8	58.81454765020494
4.02444307E8	59.003529367780665
4.054745695E8	58.59296539828686
4.09085438E8	58.91498664465128
4.15145963E8	59.03143088943712
4.21206488E8	58.063436658156185
4.27267013E8	58.99260981735311
4.33327538E8	58.992345305776915
4.39388063E8	59.22225941631727
4.45448588E8	59.021530465337825
4.51509113E8	59.145158614087784
4.57569638E8	59.15486022932983
4.63630163E8	59.07217769199068
4.69690688E8	58.413443047838506
4.75751213E8	59.343868944814055
4.81811738E8	58.81490011182104
4.87872263E8	58.76328528471172
4.93932788E8	59.4327262603969
4.977176485E8	59.09408392144455
5.00747911E8	58.79010211638919
5.06053838E8	59.25753850938745
5.12114363E8	57.7834072463515
5.18174888E8	59.17155528428559
5.24235413E8	59.19247552616391
5.30295938E8	58.37579485714624
5.36356463E8	59.08386296441328
5.42416988E8	59.170051447487566
5.48477513E8	59.13288126072575
5.54538038E8	59.332666608943406
5.60598563E8	59.15650316503864
5.66659088E8	59.37479014498002
5.72719613E8	59.39559022379138
5.78780138E8	59.1683214782518
5.848168205E8	59.22118346427283
5.87847083E8	57.44753341908316
5.90901188E8	58.75377731441109
5.96961713E8	59.2320567271977
6.03022238E8	59.25258232903708
6.09082763E8	59.38930999105615
6.15143288E8	59.283940260515934
6.21203813E8	59.10054314919632
6.27264338E8	53.929922008279156
6.33324863E8	58.760505543377775
6.39385388E8	59.0600565176369
6.45445913E8	59.054109350024405
6.51506438E8	59.27359471067041
6.57566963E8	59.30374376439149
6.63627488E8	57.46822190962662
6.69688013E8	59.10146779886077
6.73249596E8	58.24861001145281
6.762798585E8	58.572717608562925
6.81809063E8	59.10740748831794
6.87869588E8	59.10967387667051
6.93930113E8	58.6259848116233
6.99990638E8	59.09460060335056
7.06051163E8	59.29135056154064
7.12111688E8	58.6293664542782
7.18172213E8	58.92713172849013
7.24232738E8	59.1151938765665
7.30293263E8	59.2550312122633
7.36353788E8	59.13998812704457
7.42414313E8	59.02828644666667
7.48474838E8	59.34573068764678
7.529792235E8	59.204105627483315
7.56009486E8	58.57574492684297
7.60595888E8	59.11655587967346
7.66656413E8	59.26854924624604
7.72716938E8	59.24736463067471
7.78777463E8	54.04045726017202
7.84837988E8	59.180894598304775
7.90898513E8	59.19746176208769
7.96959038E8	57.69383595732741
8.03019563E8	59.30213952679315
8.09080088E8	59.48354295682049
8.15140613E8	59.390698362801814
8.21201138E8	59.299290325501836
8.27261663E8	59.322280050519495
8.314417805E8	59.10433409851678
8.34472043E8	55.847310282749966
8.39382713E8	59.01269667083906
8.45443238E8	59.26075936602963
8.51503763E8	59.26309279787345
8.57564288E8	59.37894607549486
8.63624813E8	59.11613920505314
8.69685338E8	59.307966034128924
8.75745863E8	59.4451427521963
8.81806388E8	59.41852793879089
8.87866913E8	59.022309998251075
8.93927438E8	58.981824804708914
8.99987963E8	59.03180589507187
9.04517679E8	36.390956529701945
9.075479415E8	59.31627382629148
9.12109013E8	59.31207758948862
9.18169538E8	59.380221757961415
9.24230063E8	59.32919318366512
9.30290588E8	59.087499101426204
9.36351113E8	59.573445548869906
9.42411638E8	59.22944308459196
9.48472163E8	58.5006117195824
9.54532688E8	59.20581632976264
9.60593213E8	59.237411007297595
9.66653738E8	58.952264799076
9.72714263E8	58.589327294276735
9.768683365E8	59.13127945465144
9.79898599E8	55.00772947495977
9.84835313E8	59.0667364969616
9.90895838E8	59.14789083855233
9.96956363E8	59.09174256874913
1.003016888E9	58.80991435211155
1.009077413E9	59.13382164057536
1.015137938E9	59.103554902673984
1.021198463E9	59.279345296087186
1.027258988E9	59.399073832260555
1.033319513E9	57.017740916197944
1.039380038E9	59.35184074281453
1.0443459135E9	59.2381156121468
1.047376176E9	58.613336999573
1.051501088E9	58.400577236947036
1.057561613E9	59.11442380737888
1.063622138E9	59.24962473948716
1.069682663E9	59.1418980259021
1.075743188E9	59.17482932979267
1.081803713E9	59.061963221460964
1.087864238E9	59.31878605162497
1.093924763E9	59.110196903158595
1.099985288E9	59.23889911471808
1.106045813E9	59.213349907353674
1.1117359955E9	56.574842917265116
1.114766258E9	59.24400858441092
1.118166863E9	59.23772230470203
1.124227388E9	59.35818505276562
1.130287913E9	59.321271360626966
1.136348438E9	59.14348381460582
1.142408963E9	59.06051408515545
1.148469488E9	59.257059288242196
1.154530013E9	59.14729524306016
1.160590538E9	59.274816817557934
1.166651063E9	58.99703857971011
1.172711588E9	59.07072761498801
1.178772113E9	59.239213097938155
1.1818822675E9	48.399694600435566
1.18491253E9	59.24866650706906
1.190893163E9	59.38467824872476
1.196953688E9	59.06381741184109
1.203014213E9	57.20258856931217
1.209074738E9	59.10256575156372
1.215135263E9	59.33478340836268
1.221195788E9	59.1857941861364
1.227256313E9	59.24175820807528
1.233316838E9	59.2511641532011
1.239377363E9	59.25014548187504
1.245391653E9	58.66541734380707
1.2484219155E9	58.49971121037144
1.251498413E9	59.28247767480416
1.257558938E9	59.35832701292509
1.263619463E9	59.29579777717947
1.269679988E9	58.649528244454224
1.275740513E9	59.02996380682134
1.281801038E9	59.194141865771826
1.287861563E9	58.98148084350609
1.293922088E9	59.17293397410425
1.299982613E9	59.266058498086025
1.306043138E9	59.05412278300124
1.309719165E9	58.81293247503274
1.3127494275E9	58.9854520772337
1.318164188E9	59.00596129863729
1.324224713E9	59.328715588239646
1.330285238E9	59.373380625079584
1.336345763E9	59.468535249933836
1.342406288E9	59.49738382706327
1.348466813E9	59.3459838906552
1.354527338E9	58.767055799880744
1.360587863E9	59.55356466273475
1.366648388E9	59.34378250481837
1.3700714755E9	58.810552809213874
1.373101738E9	58.69506558153509
1.378769438E9	58.79127672470499
1.384829963E9	59.11183267578665
1.390890488E9	58.855717720327235
1.396951013E9	59.2295342805257
1.403011538E9	59.21222914772992
1.409072063E9	58.998899849213856
1.415132588E9	59.08176362572271
1.421193113E9	58.72525447631959
1.426217195E9	56.947028139720786
1.4292474575E9	58.90405685010924
1.433314163E9	58.85472125415729
1.439374688E9	58.85892784536303
1.445435213E9	59.09898440536208
1.451495738E9	59.193851009956795
1.457556263E9	59.1741376410014
1.463616788E9	59.106973414420835
1.469677313E9	59.26757328553819
1.475737838E9	58.94078743164925
1.481798363E9	58.51268269926883
1.4852620925E9	32.414407564652066
1.488292355E9	58.187597183401046
1.493919413E9	59.31710706879173
1.499979938E9	59.16862524494444
1.506040463E9	59.13368511603803
1.512100988E9	59.32954463061875
1.518161513E9	59.11202925974661
1.524222038E9	59.35354244870093
1.530282563E9	58.76910587316314
1.536343088E9	59.49117770002437
1.541143975E9	58.818942705758026
1.5441742375E9	58.91617587035186
1.548464138E9	59.247313480105205
1.554524663E9	59.159255824651424
1.560585188E9	59.3383257974706
1.566645713E9	59.331555924686455
1.572706238E9	59.09181545167146
1.578766763E9	59.00277909071517
1.584827288E9	59.12827340381391
1.590887813E9	59.147809592319284
1.5965550695E9	58.90446231383845
1.599585332E9	58.764230382320584
1.603008863E9	59.35658717992988
1.609069388E9	59.310610585016
1.615129913E9	59.2572100641519
1.621190438E9	59.15406547244924
1.627250963E9	59.247654298179334
1.633311488E9	51.39176182475607
1.639372013E9	59.15924473851332
1.645432538E9	59.117332619499734
1.651493063E9	58.97531415574097
1.6547785435E9	59.15443376680305
1.657808806E9	59.13604562335042
1.663614113E9	59.55722169101806
1.669674638E9	59.17609799644945
1.675735163E9	59.25506514527737
1.681795688E9	59.159054553848534
1.687856213E9	58.50843562099227
1.693916738E9	59.069227457369614
1.699977263E9	59.231222467259954
1.705875606E9	58.81792049185998
1.7089058685E9	42.759600152153524
1.712098313E9	58.71991176462288
1.718158838E9	58.97847822777871
1.724219363E9	59.07283931561697
1.730279888E9	59.19563808783673
1.736340413E9	59.25816681751146
