#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	5.999627663107227E-8
4.0	0.0
5.0	5.999627663107227E-8
6.0	5.999627663107227E-8
7.0	1.1999255326214455E-7
8.0	3.599776597864336E-7
9.0	7.799515962039396E-7
10.0	2.219862235349674E-6
11.0	2.399851065242891E-6
12.0	5.219676066903288E-6
13.0	8.639463834874407E-6
14.0	7.3795420256218904E-6
15.0	7.979504791932612E-6
16.0	9.299422877816203E-6
17.0	2.057872288445779E-5
18.0	4.4517237260255626E-5
19.0	8.82545229243073E-5
20.0	1.770490123382943E-4
21.0	3.8403616671549366E-4
22.0	7.583529366167537E-4
23.0	0.0014160921173231988
24.0	0.002475986340287722
25.0	0.00459145505429933
26.0	0.005793720441709388
27.0	0.009254245681513007
28.0	0.0127241903367477
29.0	0.01701740389991397
30.0	0.021298078241264347
31.0	0.024791541436938423
32.0	0.028069378014400428
33.0	0.030733932652139608
34.0	0.033181060783367786
35.0	0.03543896065810156
36.0	0.03776039658978763
37.0	0.040777729334117524
38.0	0.04418611780952873
39.0	0.04678383659510091
40.0	0.04779711371112309
41.0	0.047010622520766356
42.0	0.04472008467154528
43.0	0.041878781002850966
44.0	0.03902301823148855
45.0	0.03706215992235522
46.0	0.035992666295129726
47.0	0.03472668486193747
48.0	0.03255523962182907
49.0	0.03019078635979851
50.0	0.028069677995783585
51.0	0.029167369873025678
52.0	0.022567899436160988
53.0	0.022476465110575234
54.0	0.020942120332012194
55.0	0.016693004032169764
56.0	0.013523700719133369
57.0	0.01169225437869326
58.0	0.00928520376025464
59.0	0.006824636463061103
60.0	0.005223035858394628
61.0	0.004332811105742777
62.0	0.0036340944680973092
63.0	0.0031816025497457628
64.0	0.0027946865617519776
65.0	0.0024402285594156024
66.0	0.0020808508623954797
67.0	0.0017168534520747643
68.0	0.0012844002901179952
69.0	9.870587431344009E-4
70.0	7.510933871443938E-4
71.0	5.22987543393057E-4
72.0	3.529580954205982E-4
73.0	2.2666593311219106E-4
74.0	1.473508554059135E-4
75.0	1.027736218690268E-4
76.0	6.905571440236419E-5
77.0	4.595714789940136E-5
78.0	3.005813459216721E-5
79.0	2.267859256654532E-5
80.0	1.577902075397201E-5
81.0	8.579467558243337E-6
82.0	5.819638833214011E-6
83.0	2.339854788611819E-6
84.0	1.6798957456700235E-6
85.0	6.59959042941795E-7
86.0	8.399478728350119E-7
87.0	1.7998882989321684E-7
88.0	5.999627663107227E-8
89.0	1.1999255326214455E-7
90.0	0.0
91.0	0.0
92.0	0.0
93.0	5.999627663107227E-8
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	5.699646279951866E-6
