#Coverage (X)	Coverage
1.0	96.04842647811593
2.0	90.94361875075757
3.0	82.68596767438257
4.0	71.67339072960934
5.0	59.071310671648476
6.0	46.31207184708276
7.0	34.620647842241766
8.0	24.7785649137206
9.0	17.06239889212486
10.0	11.361387657931118
11.0	7.360052680988019
12.0	4.67402836133985
13.0	2.9367492508617232
14.0	1.8468217397693394
15.0	1.1792740736703848
16.0	0.7780932614459317
17.0	0.5390107225870224
18.0	0.3971286874573252
19.0	0.3116833551070499
20.0	0.2586737073965395
21.0	0.22434961348366755
22.0	0.20072550168814018
23.0	0.1832725145494578
24.0	0.16964003029740127
25.0	0.15866527821636112
26.0	0.14936954757840226
27.0	0.1412276362850804
28.0	0.13399855857930731
29.0	0.12740007814647925
30.0	0.12138422058818321
31.0	0.11583944439685467
32.0	0.11079664624010377
33.0	0.10623280830681381
34.0	0.10203692534668107
35.0	0.09817801819099259
36.0	0.09465394181076192
37.0	0.0914085541972014
38.0	0.08842774765962247
39.0	0.0856157384034475
40.0	0.08296320380269151
41.0	0.08050867187806432
42.0	0.0782200084452569
43.0	0.07605526168727295
44.0	0.07403056057209767
45.0	0.07213951126331608
46.0	0.0703909826307978
47.0	0.06872536761891013
48.0	0.06716873658001532
49.0	0.06566309123022052
50.0	0.06423945198879721
51.0	0.06293090180287209
