#Position (bp)	insert size
3030263.0	367.3148114862841
9090788.0	370.20424637450765
1.5151313E7	370.3783665830179
2.1211838E7	370.59448499594487
2.7272363E7	370.18573636060336
3.3332888E7	371.6015306819735
3.9393413E7	370.0749841938883
4.5453938E7	371.69859988477856
5.1514463E7	370.31289053459847
5.7574988E7	372.1281399129477
6.3635513E7	372.1267569390218
6.9696038E7	371.2174138628489
7.5756563E7	372.8341746228619
8.1817088E7	372.21234222093034
8.7877613E7	372.0287049338037
9.3938138E7	373.2680509332948
9.9998663E7	371.5168159450561
1.058157535E8	369.2872700543552
1.08846016E8	369.6655505952381
1.12119713E8	367.76712812366037
1.18180238E8	369.4005212783402
1.24240763E8	369.73296078001067
1.30301288E8	370.79578947368424
1.36361813E8	369.849863345988
1.42422338E8	372.43610087062046
1.48482863E8	370.45312870192436
1.54543388E8	369.0340223454602
1.60603913E8	372.6439987937274
1.66664438E8	371.10390514148344
1.72724963E8	370.4986834042694
1.78785488E8	368.8801123484774
1.84846013E8	370.38195358788676
1.90906538E8	369.07176542272157
1.96967063E8	369.1040516120315
2.03027588E8	365.4954267792046
2.08354926E8	360.5422525154171
2.113851885E8	347.9089347157971
2.15148638E8	364.9381460048276
2.21209163E8	364.40779879118736
2.27269688E8	363.99953030314697
2.33330213E8	370.51947059868536
2.39390738E8	371.8423673711985
2.45451263E8	368.9301596546526
2.51511788E8	366.12666649408476
2.57572313E8	369.1227450917899
2.63632838E8	370.957306088407
2.69693363E8	368.83220943452056
2.75753888E8	371.0240763026085
2.81814413E8	370.6379336875549
2.87874938E8	371.86903753377504
2.93935463E8	372.0968516810215
2.99995988E8	371.6508194193777
3.06056513E8	372.27659847947484
3.100092195E8	370.20450792097375
3.13039482E8	372.23436928240653
3.18177563E8	370.92548474974626
3.24238088E8	369.58397821725424
3.30298613E8	371.65118561055317
3.36359138E8	369.90168354765217
3.42419663E8	372.22062015364247
3.48480188E8	372.2269512891466
3.54540713E8	372.89716983853754
3.60601238E8	370.7623698596748
3.66661763E8	369.8167332791002
3.72722288E8	372.2280095274284
3.78782813E8	370.5384381235837
3.84843338E8	370.4225585063302
3.90903863E8	346.2138801230623
3.96964388E8	365.5697768108936
4.02444307E8	369.85281114585047
4.054745695E8	365.75185943971854
4.09085438E8	370.6225171505249
4.15145963E8	368.05402274641955
4.21206488E8	369.2648607975922
4.27267013E8	370.5660559966426
4.33327538E8	372.80072317814734
4.39388063E8	372.01725455640775
4.45448588E8	372.06412636951643
4.51509113E8	373.11132862371267
4.57569638E8	372.9430320582143
4.63630163E8	372.40780274277176
4.69690688E8	356.27941576985626
4.75751213E8	369.60951018781213
4.81811738E8	369.5826009889755
4.87872263E8	368.3027253212208
4.93932788E8	368.6984397586575
4.977176485E8	368.1574532977507
5.00747911E8	369.8118474494596
5.06053838E8	367.08803783338266
5.12114363E8	369.34393439811674
5.18174888E8	372.21402998236334
5.24235413E8	370.21139180171593
5.30295938E8	371.6944738887711
5.36356463E8	370.62518059013183
5.42416988E8	371.45840514967114
5.48477513E8	370.9261504237836
5.54538038E8	371.87406281575574
5.60598563E8	371.3507442883679
5.66659088E8	370.6160999590332
5.72719613E8	369.58498090316783
5.78780138E8	372.5940559565497
5.848168205E8	370.7433650565631
5.87847083E8	368.62017434620174
5.90901188E8	366.3314304508187
5.96961713E8	370.5731738843995
6.03022238E8	370.17762983571805
6.09082763E8	369.66846266135246
6.15143288E8	367.44636084820104
6.21203813E8	368.19134809389635
6.27264338E8	376.7928661066927
6.33324863E8	371.0844255215988
6.39385388E8	371.2136637877962
6.45445913E8	371.5580325130933
6.51506438E8	369.7802713902657
6.57566963E8	369.2410777498874
6.63627488E8	371.24015829537854
6.69688013E8	369.73203391715793
6.73249596E8	369.89293739260694
6.762798585E8	371.7036619082548
6.81809063E8	372.33262735902576
6.87869588E8	370.68115967355783
6.93930113E8	369.0184500301225
6.99990638E8	366.4741130772551
7.06051163E8	370.5940398623509
7.12111688E8	368.49942781013544
7.18172213E8	372.4378308938025
7.24232738E8	373.09648905095554
7.30293263E8	372.1497645408323
7.36353788E8	374.12492854749377
7.42414313E8	371.21131756916975
7.48474838E8	369.4871900271803
7.529792235E8	371.3813176895307
7.56009486E8	372.4879249346254
7.60595888E8	371.0700694035393
7.66656413E8	371.1827198964692
7.72716938E8	371.3279252790591
7.78777463E8	370.8921069788537
7.84837988E8	370.6921392317007
7.90898513E8	368.8773524923703
7.96959038E8	351.9198220916149
8.03019563E8	366.80754508439867
8.09080088E8	368.43383328391053
8.15140613E8	367.8297894003117
8.21201138E8	368.0208351351139
8.27261663E8	367.060064179303
8.314417805E8	368.1383059244478
8.34472043E8	364.1031648059471
8.39382713E8	371.1365139348134
8.45443238E8	368.9953351255831
8.51503763E8	372.8112570658046
8.57564288E8	369.1455917656473
8.63624813E8	369.04756820201
8.69685338E8	370.2220015019744
8.75745863E8	369.4101117735322
8.81806388E8	368.0572537181331
8.87866913E8	370.99039153176034
8.93927438E8	370.51430433306103
8.99987963E8	372.0776288592299
9.04517679E8	323.9169929779724
9.075479415E8	365.82278056951424
9.12109013E8	369.4942940653196
9.18169538E8	371.23152833349246
9.24230063E8	370.62626043405675
9.30290588E8	368.97691324557763
9.36351113E8	365.16367265469063
9.42411638E8	367.4127169759935
9.48472163E8	371.40572424425227
9.54532688E8	370.0886345123258
9.60593213E8	370.98733049504443
9.66653738E8	373.1217135993594
9.72714263E8	370.2127919960695
9.768683365E8	367.61708860759495
9.79898599E8	364.5039376079667
9.84835313E8	371.5656988449719
9.90895838E8	371.0815664599143
9.96956363E8	372.6132899325738
1.003016888E9	370.2447741130155
1.009077413E9	373.2186855049883
1.015137938E9	371.82179728376343
1.021198463E9	369.4550297019981
1.027258988E9	367.4072180638917
1.033319513E9	369.3435080394096
1.039380038E9	366.4596948677973
1.0443459135E9	362.28551586440386
1.047376176E9	369.9156162203824
1.051501088E9	370.8268832744531
1.057561613E9	372.53327768850335
1.063622138E9	371.2917213620676
1.069682663E9	372.7837397033087
1.075743188E9	371.8206996424854
1.081803713E9	371.87996893190325
1.087864238E9	372.8465145557552
1.093924763E9	372.30822858934516
1.099985288E9	371.06754003158375
1.106045813E9	369.19035164948986
1.1117359955E9	368.3389267162379
1.114766258E9	361.2293915407372
1.118166863E9	366.31165781863695
1.124227388E9	370.9164731576358
1.130287913E9	371.44564255544304
1.136348438E9	373.3801483881803
1.142408963E9	372.243206965675
1.148469488E9	371.11118894859595
1.154530013E9	372.0861440333355
1.160590538E9	371.2737652614115
1.166651063E9	371.0648796886058
1.172711588E9	370.9642050184326
1.178772113E9	368.7616980260328
1.1818822675E9	341.35175135668476
1.18491253E9	367.80704656285087
1.190893163E9	369.1562096512487
1.196953688E9	370.5641337630943
1.203014213E9	372.0851760141316
1.209074738E9	372.42904976116495
1.215135263E9	371.71467565553456
1.221195788E9	373.0871939049666
1.227256313E9	371.7501680210179
1.233316838E9	370.89222913042727
1.239377363E9	371.9088389059946
1.245391653E9	370.95106934250555
1.2484219155E9	353.5283261802575
1.251498413E9	368.4514386443762
1.257558938E9	365.29493618476715
1.263619463E9	369.1268050033001
1.269679988E9	369.40835221811705
1.275740513E9	372.01244262567053
1.281801038E9	371.7722583618413
1.287861563E9	372.31333473503304
1.293922088E9	369.7364566420503
1.299982613E9	369.714739688979
1.306043138E9	368.15932120019676
1.309719165E9	365.0338076979796
1.3127494275E9	371.9473671627518
1.318164188E9	369.11544101696387
1.324224713E9	368.4517289050542
1.330285238E9	366.6642799143722
1.336345763E9	366.79656880338814
1.342406288E9	366.8264585324757
1.348466813E9	366.8967526526157
1.354527338E9	367.12233848843135
1.360587863E9	365.3990686825911
1.366648388E9	367.3297557428982
1.3700714755E9	367.48640362569984
1.373101738E9	368.76538553091757
1.378769438E9	370.63036165197184
1.384829963E9	371.68746838754686
1.390890488E9	370.89655373978104
1.396951013E9	373.0241104718067
1.403011538E9	371.13825353959777
1.409072063E9	371.74140430901383
1.415132588E9	369.2275527167731
1.421193113E9	370.55199572699865
1.426217195E9	352.1465442106743
1.4292474575E9	372.8960525231437
1.433314163E9	371.1323744911805
1.439374688E9	371.81575086037475
1.445435213E9	372.57555280317655
1.451495738E9	370.8743926749916
1.457556263E9	371.75454585019804
1.463616788E9	372.4675030700709
1.469677313E9	371.3369413723822
1.475737838E9	370.63635646825884
1.481798363E9	371.2528833963781
