#Read position (bp)	Clipping profile
0.0	2.260725906981244
1.0	2.203910314579029
2.0	2.075549171711576
3.0	1.9310013752277821
4.0	1.7731725010445003
5.0	1.5945097264614354
6.0	1.5243787253474583
7.0	1.4456348268615038
8.0	1.3683523688655255
9.0	1.2863763311752319
10.0	1.2032891409657265
11.0	1.1552176294783243
12.0	1.1041947673910357
13.0	1.0551170502186902
14.0	1.004469317241128
15.0	0.9519897596005196
16.0	0.9162841112658842
17.0	0.87914325914984
18.0	0.8435185538522735
19.0	0.8094052504365287
20.0	0.7744571172832899
21.0	0.7484233245366302
22.0	0.722486942548374
23.0	0.6981624434534734
24.0	0.6740210430907012
25.0	0.6497696718430837
26.0	0.6307313112966269
27.0	0.6116569450543704
28.0	0.5928108939994325
29.0	0.5742707518018311
30.0	0.5555246235305852
31.0	0.5404027895225814
32.0	0.5255056422209242
33.0	0.511050332256095
34.0	0.49725512671425903
35.0	0.4826895667506636
36.0	0.4701981023334794
37.0	0.45835306575716317
38.0	0.44651919373768395
39.0	0.43507021981516364
40.0	0.42389617310475675
41.0	0.41406326878440597
42.0	0.40438276066488155
43.0	0.3953157449435554
44.0	0.3862057456784066
45.0	0.37766151033097756
46.0	0.3700824509221154
47.0	0.36272947378920434
48.0	0.355727901082741
49.0	0.34899846444918176
50.0	0.3422266024996416
51.0	0.33561858042168574
52.0	0.3296888051715835
53.0	0.3235616963793856
54.0	0.3179858375810192
55.0	0.31220790030390144
56.0	0.3073488060544766
57.0	0.3027830605359465
58.0	0.2986013757726125
59.0	0.29496452138292867
60.0	0.2912213245893715
61.0	0.2877142581729189
62.0	0.28401906897376133
63.0	0.28097505255212724
64.0	0.2782693222026572
65.0	0.2756291836246051
66.0	0.2734389766870879
67.0	0.27123900076233826
68.0	0.2694691393897377
69.0	0.267480731817051
70.0	0.2661697337304551
71.0	0.265339928043538
72.0	0.26439512742119886
73.0	0.2637646090738239
74.0	0.2635262457853519
75.0	0.263391154647623
76.0	0.2635848597087466
77.0	0.26423910273940043
78.0	0.2650111318446856
79.0	0.26595704892270844
80.0	0.2672836773888763
81.0	0.2688123843337956
82.0	0.27045915646726715
83.0	0.27222845961202585
84.0	0.2746902443946054
85.0	0.2775559070207668
86.0	0.2807475747065714
87.0	0.28402772150531
88.0	0.28735308475923893
89.0	0.29112000623607487
90.0	0.2947281118919032
91.0	0.29870157767022537
92.0	0.3032123377463328
93.0	0.3081794490831566
94.0	0.3137139990212256
95.0	0.31896245719034416
96.0	0.32485092358014916
97.0	0.3304013830117111
98.0	0.33678946331997617
99.0	0.3434538664099593
100.0	0.35007500684219867
101.0	0.35711677195327557
102.0	0.364433743390387
103.0	0.3722570274800606
104.0	0.38022545080861647
105.0	0.3884073962866818
106.0	0.3973901196038878
107.0	0.4067669517774432
108.0	0.41667465862860253
109.0	0.42616899776286843
110.0	0.437378771055154
111.0	0.4488107190284978
112.0	0.4606429163644514
113.0	0.4727852092665553
114.0	0.48510641419197376
115.0	0.4993869988423025
116.0	0.5137608075422209
117.0	0.5286370212998086
118.0	0.5441150046709156
119.0	0.5590210836180425
120.0	0.5777674910032093
121.0	0.5966355920579005
122.0	0.6156971190597943
123.0	0.6350559023874758
124.0	0.65359688192684
125.0	0.6782482234231464
126.0	0.7032677161811561
127.0	0.727979625398304
128.0	0.7537887314386172
129.0	0.7789748552074206
130.0	0.8134205833029898
131.0	0.847052136091214
132.0	0.8838507945402012
133.0	0.9203792707137307
134.0	0.9543572038778256
135.0	1.00363923244029
136.0	1.0519666913931829
137.0	1.1018563509615062
138.0	1.1508305168691877
139.0	1.1975536290045896
140.0	1.2781952230389293
141.0	1.3547522639544178
142.0	1.4284123814846008
143.0	1.5053794407499312
144.0	1.573210822269388
145.0	1.738704164721336
146.0	1.8937031028603348
147.0	2.0354779025397156
148.0	2.1598139435534742
149.0	2.215514475841585
