#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	5.99962622328629E-8
4.0	0.0
5.0	5.99962622328629E-8
6.0	5.99962622328629E-8
7.0	1.199925244657258E-7
8.0	2.999813111643145E-7
9.0	8.999439334929433E-7
10.0	1.9798766536844757E-6
11.0	2.5798392760131045E-6
12.0	5.039686027560483E-6
13.0	8.579465499299394E-6
14.0	7.379540254642136E-6
15.0	8.399476712600805E-6
16.0	9.059435597162298E-6
17.0	2.0638714208104836E-5
18.0	4.4157249003387094E-5
19.0	8.915444567803425E-5
20.0	1.7626901844015118E-4
21.0	3.847560296993498E-4
22.0	7.58352754623387E-4
23.0	0.0014157317999088656
24.0	0.0024762257311369503
25.0	0.00459283386645012
26.0	0.005795998909267952
27.0	0.009252323580240949
28.0	0.012724247279394493
29.0	0.01701571992064894
30.0	0.021297653156208365
31.0	0.024791175509765742
32.0	0.028066551453844422
33.0	0.030734285254028673
34.0	0.03318777240177938
35.0	0.03543637231400484
36.0	0.03774976818944179
37.0	0.040792778609892597
38.0	0.04417830769143082
39.0	0.046787965109773656
40.0	0.04780298187422924
41.0	0.047008871347315066
42.0	0.044709754582289526
43.0	0.04189005024986943
44.0	0.03901844915061792
45.0	0.037062271020515423
46.0	0.03598785795644931
47.0	0.03472955634863948
48.0	0.032543112564087255
49.0	0.030202778366907743
50.0	0.028063131666897154
51.0	0.029177922215445976
52.0	0.02256765403515361
53.0	0.022478139611902176
54.0	0.0209362356725176
55.0	0.016692280070951578
56.0	0.013519197753979924
57.0	0.01169645131108332
58.0	0.009287001419811548
59.0	0.006825294784134949
60.0	0.005221714687174989
61.0	0.004333290036030755
62.0	0.0036334936333466423
63.0	0.003182921703977842
64.0	0.002794025932184425
65.0	0.0024404679588461643
66.0	0.002077190591026179
67.0	0.0017193128868071518
68.0	0.0012863198622725803
69.0	9.848386445524444E-4
70.0	7.519331545644707E-4
71.0	5.227474328349344E-4
72.0	3.524180443558367E-4
73.0	2.276858151737147E-4
74.0	1.469308462082812E-4
75.0	1.026536046804284E-4
76.0	6.899570156779232E-5
77.0	4.601713313260584E-5
78.0	2.9938134854198585E-5
79.0	2.2738583386255033E-5
80.0	1.577901696724294E-5
81.0	8.699458023765119E-6
82.0	5.759641174354838E-6
83.0	2.3398542270816526E-6
84.0	1.6198990802872983E-6
85.0	6.599588845614918E-7
86.0	8.399476712600805E-7
87.0	1.7998878669858868E-7
88.0	5.99962622328629E-8
89.0	1.199925244657258E-7
90.0	0.0
91.0	0.0
92.0	0.0
93.0	5.99962622328629E-8
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	5.699644912121975E-6
